m49_code,country,cpc_code,commodity,commodity_basket,year,decades,loss_percentage,food_supply_stage,method_data_collection
108,Burundi,0111,Wheat,Cereals & Pulses,2018,2010,4.87,Farm,Modelled Estimates
108,Burundi,0112,Maize (corn),Cereals & Pulses,2018,2010,6.42,Harvest,Modelled Estimates
108,Burundi,0112,Maize (corn),Cereals & Pulses,2018,2010,1.32,Farm,Modelled Estimates
108,Burundi,0112,Maize (corn),Cereals & Pulses,2018,2010,4.0,Farm,Modelled Estimates
108,Burundi,0112,Maize (corn),Cereals & Pulses,2018,2010,5.26,Farm,Modelled Estimates
108,Burundi,0112,Maize (corn),Cereals & Pulses,2018,2010,2.36,Farm,Modelled Estimates
108,Burundi,0113,Rice,Cereals & Pulses,2018,2010,3.14,Farm,Modelled Estimates
108,Burundi,0113,Rice,Cereals & Pulses,2018,2010,2.5,Farm,Modelled Estimates
108,Burundi,0113,Rice,Cereals & Pulses,2018,2010,1.25,Farm,Modelled Estimates
108,Burundi,0113,Rice,Cereals & Pulses,2018,2010,1.2,Farm,Modelled Estimates
108,Burundi,0113,Rice,Cereals & Pulses,2018,2010,4.4,Harvest,Modelled Estimates
108,Burundi,0114,Sorghum,Cereals & Pulses,2018,2010,2.69,Farm,Modelled Estimates
108,Burundi,0114,Sorghum,Cereals & Pulses,2018,2010,3.6,Farm,Modelled Estimates
108,Burundi,0114,Sorghum,Cereals & Pulses,2018,2010,2.17,Farm,Modelled Estimates
108,Burundi,0114,Sorghum,Cereals & Pulses,2018,2010,4.55,Harvest,Modelled Estimates
108,Burundi,0118,Millet,Cereals & Pulses,2018,2010,1.18,Farm,Modelled Estimates
108,Burundi,0118,Millet,Cereals & Pulses,2018,2010,2.5,Farm,Modelled Estimates
108,Burundi,0118,Millet,Cereals & Pulses,2018,2010,3.5,Harvest,Modelled Estimates
108,Burundi,0118,Millet,Cereals & Pulses,2018,2010,2.5,Farm,Modelled Estimates
108,Burundi,0118,Millet,Cereals & Pulses,2018,2010,2.0,Farm,Modelled Estimates
108,Burundi,0111,Wheat,Cereals & Pulses,2017,2010,4.87,Farm,Modelled Estimates
108,Burundi,0111,Wheat,Cereals & Pulses,2017,2010,2.5,Farm,Modelled Estimates
108,Burundi,0111,Wheat,Cereals & Pulses,2017,2010,4.43,Harvest,Modelled Estimates
108,Burundi,0111,Wheat,Cereals & Pulses,2017,2010,3.5,Farm,Modelled Estimates
108,Burundi,0112,Maize (corn),Cereals & Pulses,2017,2010,1.32,Farm,Modelled Estimates
108,Burundi,0112,Maize (corn),Cereals & Pulses,2017,2010,2.36,Farm,Modelled Estimates
108,Burundi,0112,Maize (corn),Cereals & Pulses,2017,2010,6.42,Harvest,Modelled Estimates
108,Burundi,0112,Maize (corn),Cereals & Pulses,2017,2010,5.26,Farm,Modelled Estimates
108,Burundi,0112,Maize (corn),Cereals & Pulses,2017,2010,4.0,Farm,Modelled Estimates
108,Burundi,0113,Rice,Cereals & Pulses,2017,2010,3.14,Farm,Modelled Estimates
108,Burundi,0113,Rice,Cereals & Pulses,2017,2010,1.25,Farm,Modelled Estimates
108,Burundi,0113,Rice,Cereals & Pulses,2017,2010,2.5,Farm,Modelled Estimates
108,Burundi,0113,Rice,Cereals & Pulses,2017,2010,4.4,Harvest,Modelled Estimates
108,Burundi,0113,Rice,Cereals & Pulses,2017,2010,1.2,Farm,Modelled Estimates
108,Burundi,0114,Sorghum,Cereals & Pulses,2017,2010,3.6,Farm,Modelled Estimates
108,Burundi,0114,Sorghum,Cereals & Pulses,2017,2010,2.17,Farm,Modelled Estimates
108,Burundi,0114,Sorghum,Cereals & Pulses,2017,2010,2.69,Farm,Modelled Estimates
108,Burundi,0114,Sorghum,Cereals & Pulses,2017,2010,4.55,Harvest,Modelled Estimates
108,Burundi,0118,Millet,Cereals & Pulses,2017,2010,2.5,Farm,Modelled Estimates
108,Burundi,0118,Millet,Cereals & Pulses,2017,2010,1.18,Farm,Modelled Estimates
108,Burundi,0118,Millet,Cereals & Pulses,2017,2010,3.5,Harvest,Modelled Estimates
108,Burundi,0118,Millet,Cereals & Pulses,2017,2010,2.0,Farm,Modelled Estimates
108,Burundi,0118,Millet,Cereals & Pulses,2017,2010,2.5,Farm,Modelled Estimates
108,Burundi,0111,Wheat,Cereals & Pulses,2016,2010,4.87,Farm,Modelled Estimates
108,Burundi,0111,Wheat,Cereals & Pulses,2016,2010,4.43,Harvest,Modelled Estimates
108,Burundi,0111,Wheat,Cereals & Pulses,2016,2010,2.5,Farm,Modelled Estimates
108,Burundi,0111,Wheat,Cereals & Pulses,2016,2010,3.5,Farm,Modelled Estimates
108,Burundi,0112,Maize (corn),Cereals & Pulses,2016,2010,1.32,Farm,Modelled Estimates
108,Burundi,0112,Maize (corn),Cereals & Pulses,2016,2010,4.0,Farm,Modelled Estimates
108,Burundi,0112,Maize (corn),Cereals & Pulses,2016,2010,6.42,Harvest,Modelled Estimates
108,Burundi,0112,Maize (corn),Cereals & Pulses,2016,2010,2.36,Farm,Modelled Estimates
108,Burundi,0112,Maize (corn),Cereals & Pulses,2016,2010,5.26,Farm,Modelled Estimates
108,Burundi,0113,Rice,Cereals & Pulses,2016,2010,2.5,Farm,Modelled Estimates
108,Burundi,0113,Rice,Cereals & Pulses,2016,2010,1.25,Farm,Modelled Estimates
108,Burundi,0113,Rice,Cereals & Pulses,2016,2010,1.2,Farm,Modelled Estimates
108,Burundi,0113,Rice,Cereals & Pulses,2016,2010,4.4,Harvest,Modelled Estimates
108,Burundi,0113,Rice,Cereals & Pulses,2016,2010,3.14,Farm,Modelled Estimates
108,Burundi,0114,Sorghum,Cereals & Pulses,2016,2010,3.6,Farm,Modelled Estimates
108,Burundi,0114,Sorghum,Cereals & Pulses,2016,2010,2.69,Farm,Modelled Estimates
108,Burundi,0114,Sorghum,Cereals & Pulses,2016,2010,4.55,Harvest,Modelled Estimates
108,Burundi,0114,Sorghum,Cereals & Pulses,2016,2010,2.17,Farm,Modelled Estimates
108,Burundi,0118,Millet,Cereals & Pulses,2016,2010,2.0,Farm,Modelled Estimates
108,Burundi,0118,Millet,Cereals & Pulses,2016,2010,1.18,Farm,Modelled Estimates
108,Burundi,0118,Millet,Cereals & Pulses,2016,2010,3.5,Harvest,Modelled Estimates
108,Burundi,0118,Millet,Cereals & Pulses,2016,2010,2.5,Farm,Modelled Estimates
108,Burundi,0118,Millet,Cereals & Pulses,2016,2010,2.5,Farm,Modelled Estimates
108,Burundi,0111,Wheat,Cereals & Pulses,2015,2010,4.43,Harvest,Modelled Estimates
108,Burundi,0111,Wheat,Cereals & Pulses,2015,2010,4.87,Farm,Modelled Estimates
108,Burundi,0111,Wheat,Cereals & Pulses,2015,2010,2.5,Farm,Modelled Estimates
108,Burundi,0111,Wheat,Cereals & Pulses,2015,2010,3.5,Farm,Modelled Estimates
108,Burundi,0112,Maize (corn),Cereals & Pulses,2015,2010,4.0,Farm,Modelled Estimates
108,Burundi,0112,Maize (corn),Cereals & Pulses,2015,2010,1.32,Farm,Modelled Estimates
108,Burundi,0112,Maize (corn),Cereals & Pulses,2015,2010,2.36,Farm,Modelled Estimates
108,Burundi,0112,Maize (corn),Cereals & Pulses,2015,2010,5.26,Farm,Modelled Estimates
108,Burundi,0112,Maize (corn),Cereals & Pulses,2015,2010,6.42,Harvest,Modelled Estimates
108,Burundi,0113,Rice,Cereals & Pulses,2015,2010,2.5,Farm,Modelled Estimates
108,Burundi,0113,Rice,Cereals & Pulses,2015,2010,4.4,Harvest,Modelled Estimates
108,Burundi,0113,Rice,Cereals & Pulses,2015,2010,3.14,Farm,Modelled Estimates
108,Burundi,0113,Rice,Cereals & Pulses,2015,2010,1.25,Farm,Modelled Estimates
108,Burundi,0113,Rice,Cereals & Pulses,2015,2010,1.2,Farm,Modelled Estimates
108,Burundi,0114,Sorghum,Cereals & Pulses,2015,2010,4.55,Harvest,Modelled Estimates
108,Burundi,0114,Sorghum,Cereals & Pulses,2015,2010,2.69,Farm,Modelled Estimates
108,Burundi,0114,Sorghum,Cereals & Pulses,2015,2010,3.6,Farm,Modelled Estimates
108,Burundi,0114,Sorghum,Cereals & Pulses,2015,2010,2.17,Farm,Modelled Estimates
108,Burundi,0118,Millet,Cereals & Pulses,2015,2010,3.5,Harvest,Modelled Estimates
108,Burundi,0118,Millet,Cereals & Pulses,2015,2010,2.5,Farm,Modelled Estimates
108,Burundi,0118,Millet,Cereals & Pulses,2015,2010,1.18,Farm,Modelled Estimates
108,Burundi,0118,Millet,Cereals & Pulses,2015,2010,2.5,Farm,Modelled Estimates
108,Burundi,0118,Millet,Cereals & Pulses,2015,2010,2.0,Farm,Modelled Estimates
108,Burundi,0111,Wheat,Cereals & Pulses,2014,2010,2.5,Farm,Modelled Estimates
108,Burundi,0111,Wheat,Cereals & Pulses,2014,2010,4.87,Farm,Modelled Estimates
108,Burundi,0111,Wheat,Cereals & Pulses,2014,2010,4.43,Harvest,Modelled Estimates
108,Burundi,0111,Wheat,Cereals & Pulses,2014,2010,3.5,Farm,Modelled Estimates
108,Burundi,0112,Maize (corn),Cereals & Pulses,2014,2010,5.26,Farm,Modelled Estimates
108,Burundi,0112,Maize (corn),Cereals & Pulses,2014,2010,4.0,Farm,Modelled Estimates
108,Burundi,0112,Maize (corn),Cereals & Pulses,2014,2010,2.36,Farm,Modelled Estimates
108,Burundi,0112,Maize (corn),Cereals & Pulses,2014,2010,6.42,Harvest,Modelled Estimates
108,Burundi,0112,Maize (corn),Cereals & Pulses,2014,2010,1.32,Farm,Modelled Estimates
108,Burundi,0113,Rice,Cereals & Pulses,2014,2010,4.4,Harvest,Modelled Estimates
108,Burundi,0113,Rice,Cereals & Pulses,2014,2010,1.2,Farm,Modelled Estimates
108,Burundi,0113,Rice,Cereals & Pulses,2014,2010,3.14,Farm,Modelled Estimates
108,Burundi,0113,Rice,Cereals & Pulses,2014,2010,2.5,Farm,Modelled Estimates
108,Burundi,0113,Rice,Cereals & Pulses,2014,2010,1.25,Farm,Modelled Estimates
108,Burundi,0114,Sorghum,Cereals & Pulses,2014,2010,4.55,Harvest,Modelled Estimates
108,Burundi,0114,Sorghum,Cereals & Pulses,2014,2010,2.69,Farm,Modelled Estimates
108,Burundi,0114,Sorghum,Cereals & Pulses,2014,2010,2.17,Farm,Modelled Estimates
108,Burundi,0114,Sorghum,Cereals & Pulses,2014,2010,3.6,Farm,Modelled Estimates
108,Burundi,0118,Millet,Cereals & Pulses,2014,2010,2.5,Farm,Modelled Estimates
108,Burundi,0118,Millet,Cereals & Pulses,2014,2010,2.0,Farm,Modelled Estimates
108,Burundi,0118,Millet,Cereals & Pulses,2014,2010,1.18,Farm,Modelled Estimates
108,Burundi,0118,Millet,Cereals & Pulses,2014,2010,3.5,Harvest,Modelled Estimates
108,Burundi,0118,Millet,Cereals & Pulses,2014,2010,2.5,Farm,Modelled Estimates
108,Burundi,0111,Wheat,Cereals & Pulses,2013,2010,3.5,Farm,Modelled Estimates
108,Burundi,0111,Wheat,Cereals & Pulses,2013,2010,2.5,Farm,Modelled Estimates
108,Burundi,0111,Wheat,Cereals & Pulses,2013,2010,4.87,Farm,Modelled Estimates
108,Burundi,0111,Wheat,Cereals & Pulses,2013,2010,4.43,Harvest,Modelled Estimates
108,Burundi,0112,Maize (corn),Cereals & Pulses,2013,2010,1.32,Farm,Modelled Estimates
108,Burundi,0112,Maize (corn),Cereals & Pulses,2013,2010,5.26,Farm,Modelled Estimates
108,Burundi,0112,Maize (corn),Cereals & Pulses,2013,2010,4.0,Farm,Modelled Estimates
108,Burundi,0112,Maize (corn),Cereals & Pulses,2013,2010,6.42,Harvest,Modelled Estimates
108,Burundi,0112,Maize (corn),Cereals & Pulses,2013,2010,2.36,Farm,Modelled Estimates
108,Burundi,0113,Rice,Cereals & Pulses,2013,2010,4.4,Harvest,Modelled Estimates
108,Burundi,0113,Rice,Cereals & Pulses,2013,2010,1.25,Farm,Modelled Estimates
108,Burundi,0113,Rice,Cereals & Pulses,2013,2010,2.5,Farm,Modelled Estimates
108,Burundi,0113,Rice,Cereals & Pulses,2013,2010,3.14,Farm,Modelled Estimates
108,Burundi,0113,Rice,Cereals & Pulses,2013,2010,1.2,Farm,Modelled Estimates
108,Burundi,0114,Sorghum,Cereals & Pulses,2013,2010,2.69,Farm,Modelled Estimates
108,Burundi,0114,Sorghum,Cereals & Pulses,2013,2010,4.55,Harvest,Modelled Estimates
108,Burundi,0114,Sorghum,Cereals & Pulses,2013,2010,3.6,Farm,Modelled Estimates
108,Burundi,0114,Sorghum,Cereals & Pulses,2013,2010,2.17,Farm,Modelled Estimates
108,Burundi,0118,Millet,Cereals & Pulses,2013,2010,2.5,Farm,Modelled Estimates
108,Burundi,0118,Millet,Cereals & Pulses,2013,2010,2.0,Farm,Modelled Estimates
108,Burundi,0118,Millet,Cereals & Pulses,2013,2010,3.5,Harvest,Modelled Estimates
108,Burundi,0118,Millet,Cereals & Pulses,2013,2010,1.18,Farm,Modelled Estimates
108,Burundi,0118,Millet,Cereals & Pulses,2013,2010,2.5,Farm,Modelled Estimates
108,Burundi,0111,Wheat,Cereals & Pulses,2012,2010,2.5,Farm,Modelled Estimates
108,Burundi,0111,Wheat,Cereals & Pulses,2012,2010,3.5,Farm,Modelled Estimates
108,Burundi,0111,Wheat,Cereals & Pulses,2012,2010,4.87,Farm,Modelled Estimates
108,Burundi,0111,Wheat,Cereals & Pulses,2012,2010,4.43,Harvest,Modelled Estimates
108,Burundi,0112,Maize (corn),Cereals & Pulses,2012,2010,6.42,Harvest,Modelled Estimates
108,Burundi,0112,Maize (corn),Cereals & Pulses,2012,2010,5.26,Farm,Modelled Estimates
108,Burundi,0112,Maize (corn),Cereals & Pulses,2012,2010,4.0,Farm,Modelled Estimates
108,Burundi,0112,Maize (corn),Cereals & Pulses,2012,2010,2.36,Farm,Modelled Estimates
108,Burundi,0112,Maize (corn),Cereals & Pulses,2012,2010,1.32,Farm,Modelled Estimates
108,Burundi,0113,Rice,Cereals & Pulses,2012,2010,2.5,Farm,Modelled Estimates
108,Burundi,0113,Rice,Cereals & Pulses,2012,2010,4.4,Harvest,Modelled Estimates
108,Burundi,0113,Rice,Cereals & Pulses,2012,2010,1.2,Farm,Modelled Estimates
108,Burundi,0113,Rice,Cereals & Pulses,2012,2010,3.14,Farm,Modelled Estimates
108,Burundi,0113,Rice,Cereals & Pulses,2012,2010,1.25,Farm,Modelled Estimates
108,Burundi,0114,Sorghum,Cereals & Pulses,2012,2010,2.17,Farm,Modelled Estimates
108,Burundi,0114,Sorghum,Cereals & Pulses,2012,2010,3.6,Farm,Modelled Estimates
108,Burundi,0114,Sorghum,Cereals & Pulses,2012,2010,2.69,Farm,Modelled Estimates
108,Burundi,0114,Sorghum,Cereals & Pulses,2012,2010,4.55,Harvest,Modelled Estimates
108,Burundi,0118,Millet,Cereals & Pulses,2012,2010,1.18,Farm,Modelled Estimates
108,Burundi,0118,Millet,Cereals & Pulses,2012,2010,2.5,Farm,Modelled Estimates
108,Burundi,0118,Millet,Cereals & Pulses,2012,2010,2.0,Farm,Modelled Estimates
108,Burundi,0118,Millet,Cereals & Pulses,2012,2010,2.5,Farm,Modelled Estimates
108,Burundi,0118,Millet,Cereals & Pulses,2012,2010,3.5,Harvest,Modelled Estimates
108,Burundi,0111,Wheat,Cereals & Pulses,2011,2010,3.5,Farm,Modelled Estimates
108,Burundi,0111,Wheat,Cereals & Pulses,2011,2010,4.43,Harvest,Modelled Estimates
108,Burundi,0111,Wheat,Cereals & Pulses,2011,2010,2.5,Farm,Modelled Estimates
108,Burundi,0111,Wheat,Cereals & Pulses,2011,2010,4.87,Farm,Modelled Estimates
108,Burundi,0112,Maize (corn),Cereals & Pulses,2011,2010,1.32,Farm,Modelled Estimates
108,Burundi,0112,Maize (corn),Cereals & Pulses,2011,2010,6.42,Harvest,Modelled Estimates
108,Burundi,0112,Maize (corn),Cereals & Pulses,2011,2010,5.26,Farm,Modelled Estimates
108,Burundi,0112,Maize (corn),Cereals & Pulses,2011,2010,4.0,Farm,Modelled Estimates
108,Burundi,0112,Maize (corn),Cereals & Pulses,2011,2010,2.36,Farm,Modelled Estimates
108,Burundi,0113,Rice,Cereals & Pulses,2011,2010,1.25,Farm,Modelled Estimates
108,Burundi,0113,Rice,Cereals & Pulses,2011,2010,2.5,Farm,Modelled Estimates
108,Burundi,0113,Rice,Cereals & Pulses,2011,2010,3.14,Farm,Modelled Estimates
108,Burundi,0113,Rice,Cereals & Pulses,2011,2010,1.2,Farm,Modelled Estimates
108,Burundi,0113,Rice,Cereals & Pulses,2011,2010,4.4,Harvest,Modelled Estimates
108,Burundi,0114,Sorghum,Cereals & Pulses,2011,2010,3.6,Farm,Modelled Estimates
108,Burundi,0114,Sorghum,Cereals & Pulses,2011,2010,2.17,Farm,Modelled Estimates
108,Burundi,0114,Sorghum,Cereals & Pulses,2011,2010,4.55,Harvest,Modelled Estimates
108,Burundi,0114,Sorghum,Cereals & Pulses,2011,2010,2.69,Farm,Modelled Estimates
108,Burundi,0118,Millet,Cereals & Pulses,2011,2010,3.5,Harvest,Modelled Estimates
108,Burundi,0118,Millet,Cereals & Pulses,2011,2010,1.18,Farm,Modelled Estimates
108,Burundi,0118,Millet,Cereals & Pulses,2011,2010,2.5,Farm,Modelled Estimates
108,Burundi,0118,Millet,Cereals & Pulses,2011,2010,2.5,Farm,Modelled Estimates
108,Burundi,0118,Millet,Cereals & Pulses,2011,2010,2.0,Farm,Modelled Estimates
108,Burundi,0111,Wheat,Cereals & Pulses,2010,2010,3.5,Farm,Modelled Estimates
108,Burundi,0111,Wheat,Cereals & Pulses,2010,2010,2.5,Farm,Modelled Estimates
108,Burundi,0111,Wheat,Cereals & Pulses,2010,2010,4.87,Farm,Modelled Estimates
108,Burundi,0111,Wheat,Cereals & Pulses,2010,2010,4.43,Harvest,Modelled Estimates
108,Burundi,0112,Maize (corn),Cereals & Pulses,2010,2010,1.32,Farm,Modelled Estimates
108,Burundi,0112,Maize (corn),Cereals & Pulses,2010,2010,6.42,Harvest,Modelled Estimates
108,Burundi,0112,Maize (corn),Cereals & Pulses,2010,2010,2.36,Farm,Modelled Estimates
108,Burundi,0112,Maize (corn),Cereals & Pulses,2010,2010,4.0,Farm,Modelled Estimates
108,Burundi,0112,Maize (corn),Cereals & Pulses,2010,2010,5.26,Farm,Modelled Estimates
108,Burundi,0113,Rice,Cereals & Pulses,2010,2010,4.4,Harvest,Modelled Estimates
108,Burundi,0113,Rice,Cereals & Pulses,2010,2010,2.5,Farm,Modelled Estimates
108,Burundi,0113,Rice,Cereals & Pulses,2010,2010,3.14,Farm,Modelled Estimates
108,Burundi,0113,Rice,Cereals & Pulses,2010,2010,1.2,Farm,Modelled Estimates
108,Burundi,0113,Rice,Cereals & Pulses,2010,2010,1.25,Farm,Modelled Estimates
108,Burundi,0114,Sorghum,Cereals & Pulses,2010,2010,2.69,Farm,Modelled Estimates
108,Burundi,0114,Sorghum,Cereals & Pulses,2010,2010,3.6,Farm,Modelled Estimates
108,Burundi,0114,Sorghum,Cereals & Pulses,2010,2010,2.17,Farm,Modelled Estimates
108,Burundi,0114,Sorghum,Cereals & Pulses,2010,2010,4.55,Harvest,Modelled Estimates
108,Burundi,0118,Millet,Cereals & Pulses,2010,2010,1.18,Farm,Modelled Estimates
108,Burundi,0118,Millet,Cereals & Pulses,2010,2010,2.0,Farm,Modelled Estimates
108,Burundi,0118,Millet,Cereals & Pulses,2010,2010,2.5,Farm,Modelled Estimates
108,Burundi,0118,Millet,Cereals & Pulses,2010,2010,2.5,Farm,Modelled Estimates
108,Burundi,0118,Millet,Cereals & Pulses,2010,2010,3.5,Harvest,Modelled Estimates
108,Burundi,0111,Wheat,Cereals & Pulses,2009,2000,4.87,Farm,Modelled Estimates
108,Burundi,0111,Wheat,Cereals & Pulses,2009,2000,3.5,Farm,Modelled Estimates
108,Burundi,0111,Wheat,Cereals & Pulses,2009,2000,4.43,Harvest,Modelled Estimates
108,Burundi,0111,Wheat,Cereals & Pulses,2009,2000,2.5,Farm,Modelled Estimates
108,Burundi,0112,Maize (corn),Cereals & Pulses,2009,2000,4.0,Farm,Modelled Estimates
108,Burundi,0112,Maize (corn),Cereals & Pulses,2009,2000,6.42,Harvest,Modelled Estimates
108,Burundi,0112,Maize (corn),Cereals & Pulses,2009,2000,2.36,Farm,Modelled Estimates
108,Burundi,0112,Maize (corn),Cereals & Pulses,2009,2000,1.32,Farm,Modelled Estimates
108,Burundi,0112,Maize (corn),Cereals & Pulses,2009,2000,5.26,Farm,Modelled Estimates
108,Burundi,0113,Rice,Cereals & Pulses,2009,2000,3.14,Farm,Modelled Estimates
108,Burundi,0113,Rice,Cereals & Pulses,2009,2000,1.25,Farm,Modelled Estimates
108,Burundi,0113,Rice,Cereals & Pulses,2009,2000,2.5,Farm,Modelled Estimates
108,Burundi,0113,Rice,Cereals & Pulses,2009,2000,4.4,Harvest,Modelled Estimates
108,Burundi,0113,Rice,Cereals & Pulses,2009,2000,1.2,Farm,Modelled Estimates
108,Burundi,0114,Sorghum,Cereals & Pulses,2009,2000,4.55,Harvest,Modelled Estimates
108,Burundi,0114,Sorghum,Cereals & Pulses,2009,2000,2.17,Farm,Modelled Estimates
